RegionID,RegionName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10
102001,United States,0,1383,1391,1394,1410,1423,1434,1444,1448,1449,1448,1447,1447,1453,1461,1471,1484,1495,1503,1509,1514,1515,1515,1516,1515,1521,1530,1539,1551,1560,1569,1570,1573,1573,1572,1571,1571,1575,1582,1590,1600,1610,1617,1623,1623,1615,1614,1617,1618,1623,1631,1641,1652,1662,1672,1678,1680,1679,1679,1681,1680,1684,1692,1703,1714,1725,1735,1740,1742,1739,1736,1735,1740,1750,1760,1768,1765,1763,1764,1764,1756,1753,1751
394913,"New York, NY",1,2370,2390,2395,2426,2456,2476,2489,2497,2498,2497,2499,2495,2504,2514,2535,2565,2578,2595,2605,2608,2615,2616,2608,2604,2608,2611,2620,2647,2661,2672,2655,2668,2670,2667,2665,2651,2657,2660,2667,2687,2703,2711,2719,2712,2728,2708,2692,2685,2677,2688,2701,2720,2735,2749,2758,2760,2760,2749,2741,2736,2743,2754,2770,2777,2804,2826,2834,2836,2826,2829,2808,2801,2809,2839,2857,2840,2823,2802,2766,2702,2647,2600
753899,"Los Angeles-Long Beach-Anaheim, CA",2,1884,1903,1909,1933,1956,1980,2003,2015,2021,2027,2033,2039,2052,2058,2074,2092,2106,2116,2135,2149,2164,2166,2179,2183,2195,2206,2221,2238,2259,2270,2275,2291,2299,2307,2306,2312,2318,2331,2342,2362,2377,2386,2399,2408,2411,2412,2412,2414,2425,2437,2443,2459,2468,2487,2494,2505,2512,2522,2528,2529,2529,2539,2546,2557,2563,2578,2588,2596,2599,2595,2596,2608,2624,2633,2635,2612,2594,2598,2599,2595,2592,2602
394463,"Chicago, IL",3,1458,1468,1472,1491,1507,1519,1528,1530,1527,1516,1514,1512,1517,1523,1513,1524,1545,1563,1572,1579,1575,1565,1559,1559,1566,1575,1586,1602,1615,1625,1629,1628,1619,1608,1600,1595,1594,1607,1621,1635,1648,1657,1661,1654,1647,1633,1623,1624,1628,1638,1650,1661,1675,1686,1690,1688,1678,1665,1659,1658,1665,1674,1689,1704,1718,1726,1732,1734,1724,1715,1707,1704,1715,1724,1735,1734,1732,1733,1730,1719,1700,1685
394514,"Dallas-Fort Worth, TX",4,1212,1215,1218,1231,1244,1256,1263,1268,1268,1266,1267,1273,1273,1280,1294,1306,1316,1325,1332,1336,1335,1333,1337,1331,1335,1346,1358,1370,1382,1395,1400,1403,1402,1404,1403,1404,1405,1410,1422,1428,1439,1449,1455,1455,1454,1453,1452,1452,1456,1462,1468,1476,1482,1494,1499,1497,1495,1497,1506,1501,1504,1511,1518,1529,1539,1549,1554,1554,1549,1552,1549,1550,1557,1566,1571,1564,1558,1563,1570,1569,1570,1578
394974,"Philadelphia, PA",5,1380,1368,1379,1388,1396,1403,1412,1413,1412,1406,1399,1385,1401,1401,1413,1424,1435,1441,1448,1445,1443,1443,1441,1442,1437,1447,1458,1471,1479,1484,1490,1484,1484,1483,1487,1489,1485,1489,1499,1507,1511,1515,1515,1515,1513,1509,1506,1505,1504,1518,1527,1539,1552,1552,1557,1558,1558,1559,1562,1560,1565,1573,1585,1593,1598,1605,1612,1609,1609,1608,1613,1614,1618,1627,1639,1634,1630,1631,1635,1632,1639,1635
394692,"Houston, TX",6,1264,1264,1280,1320,1345,1363,1379,1383,1381,1384,1377,1379,1382,1388,1397,1409,1419,1426,1429,1431,1429,1418,1419,1417,1417,1422,1424,1429,1434,1440,1440,1435,1431,1425,1419,1415,1413,1415,1419,1422,1427,1430,1428,1426,1432,1443,1449,1454,1457,1463,1468,1474,1480,1484,1489,1488,1483,1475,1479,1472,1469,1473,1482,1490,1500,1505,1511,1510,1504,1495,1494,1501,1506,1511,1516,1512,1503,1504,1502,1503,1506,1505
395209,"Washington, DC",7,1876,1880,1881,1895,1908,1920,1933,1938,1938,1928,1921,1907,1916,1915,1927,1939,1947,1955,1960,1958,1959,1959,1958,1953,1956,1967,1975,1983,1991,2003,1982,1993,1993,1988,1982,1979,1987,1989,2000,2017,2032,2035,2040,2035,2025,2018,2005,2003,2002,2009,2017,2034,2054,2068,2076,2077,2070,2063,2058,2055,2058,2073,2083,2096,2112,2123,2128,2131,2125,2116,2105,2107,2121,2128,2141,2132,2124,2120,2116,2103,2086,2068
394856,"Miami-Fort Lauderdale, FL",8,1572,1567,1570,1580,1588,1595,1609,1619,1630,1637,1644,1650,1654,1666,1667,1671,1686,1691,1698,1711,1722,1729,1735,1739,1747,1760,1763,1762,1767,1767,1768,1774,1778,1781,1786,1786,1787,1787,1792,1792,1791,1792,1799,1803,1807,1813,1814,1818,1822,1829,1828,1832,1833,1842,1847,1854,1862,1866,1874,1874,1873,1879,1877,1880,1885,1885,1890,1896,1897,1905,1914,1922,1929,1937,1939,1929,1917,1916,1920,1922,1919,1938
394347,"Atlanta, GA",9,1129,1136,1137,1147,1157,1168,1173,1175,1175,1175,1179,1180,1182,1188,1197,1207,1218,1229,1239,1241,1239,1237,1238,1240,1246,1255,1268,1282,1293,1304,1312,1316,1317,1319,1318,1317,1322,1329,1338,1349,1359,1370,1379,1384,1388,1383,1383,1384,1390,1398,1412,1420,1435,1444,1452,1459,1465,1467,1473,1475,1483,1492,1499,1510,1516,1524,1534,1538,1541,1539,1532,1535,1543,1556,1566,1559,1559,1565,1576,1589,1602,1617
